response_time,attempts,confidence,is_application,correct,label
5.229599214254971,1,0.9598705879777156,0,0,2
2.081908088756769,3,0.618690677970629,1,1,1
15.962737796832027,3,0.6854016527972041,1,1,0
4.796331548380711,3,0.35324773144368693,1,1,1
13.636766266489564,2,0.11787374405358264,1,0,1
8.78952607688678,1,0.14834425363556336,0,1,0
17.100824499668157,1,0.5403217986654784,1,0,0
12.049158124164164,1,0.2812742915195944,1,1,0
4.201692353189551,2,0.8629022142429351,1,1,1
1.7437341443838537,3,0.36210489719406624,0,0,2
15.450061842199556,1,0.1478187902497291,0,1,0
16.298127927432276,1,0.06502608381064146,0,1,0
12.374848248996042,3,0.6653718711724383,0,1,0
16.711390516533868,1,0.10696691240978762,1,0,0
17.515565536792934,3,0.0026050220890621034,1,1,0
9.719489837165623,2,0.028408028327039148,1,1,1
6.042035814300928,2,0.7516077165104516,0,0,1
17.592980799723684,1,0.4509911832057585,0,0,1
9.203221657179245,2,0.19307156094689049,1,0,1
12.491601632451001,2,0.8888992755761104,0,0,2
12.563071531421752,3,0.09898087958437762,0,1,0
8.835630159035968,3,0.998015385922393,1,1,0
6.804981381476049,2,0.17007954484191257,0,1,1
8.905653581017502,2,0.13659837039626654,1,1,0
7.63179511821504,2,0.17113889980669328,0,1,1
3.3475192881731033,3,0.6336959559362224,1,0,2
17.68001139921132,1,0.34943975112325243,0,0,1
5.814889936134589,2,0.8969473665679434,1,1,1
2.0990975787724553,3,0.7985341536579016,0,0,2
8.790386683812187,3,0.005713048745852323,1,1,1
11.230584380115971,1,0.38945235340658235,1,1,0
4.057815645124286,2,0.8813025543763098,1,1,1
10.186192281263207,3,0.8390815739512298,1,0,2
3.233433876173924,1,0.9975888483180387,1,1,1
19.944708969283102,2,0.9064193846282982,1,1,0
6.532225459388512,2,0.6683161482176266,0,0,0
15.912151336334782,3,0.8639904959125462,0,0,2
7.890402642673464,1,0.31635568267685177,1,1,1
3.0949336906120326,1,0.5997026596354532,1,0,0
15.843343190437956,2,0.6476856312679986,1,0,1
13.439492446884346,1,0.5711225424525707,1,1,0
13.250258998548405,3,0.30779141723620473,0,1,0
4.526148868018993,1,0.2708229951524149,0,0,0
17.00716831795502,1,0.7183215501452795,1,1,0
16.65339661860166,1,0.9315594633375623,1,1,0
11.542848157657604,1,0.6149708014905721,0,0,0
14.216374754791126,2,0.7296955284663409,0,1,0
4.40042696545943,1,0.6280319725928717,0,1,0
14.73337672343437,3,0.14713355896794955,0,0,2
1.430544725647035,1,0.13526416809683328,1,0,0
15.67644124848291,1,0.5265029814767717,1,1,0
10.358912048797377,2,0.7567993134113913,1,0,0
3.3542369813676927,3,0.4048024680064558,0,0,2
17.650248042610745,1,0.1477737316317035,1,1,0
12.719716681420563,3,0.9499742797556262,1,0,2
18.653123203679954,2,0.014268551293190823,1,1,0
